# Field minima and maxima
# Time        	field         	min           	location(min) 	max           	location(max) 
1             	T             	2.2551654e+01	(-3.7719240e-02 4.9929247e-02 3.5578579e-02)	2.6902188e+01	(-4.7516635e-02 1.6729757e-03 -4.7516628e-02)
1             	T             	2.2551654e+01	(-3.7719240e-02 4.9929247e-02 3.5578579e-02)	2.6902188e+01	(-4.7516635e-02 1.6729757e-03 -4.7516628e-02)
1             	T             	2.2551654e+01	(-3.7719240e-02 4.9929247e-02 3.5578579e-02)	2.6902188e+01	(-4.7516635e-02 1.6729757e-03 -4.7516628e-02)
2             	T             	1.9223931e+01	(-3.5546287e-02 4.4899585e-02 3.5546287e-02)	2.4016215e+01	(-4.7523793e-02 1.1949408e-03 -4.7523775e-02)
2             	T             	1.9223931e+01	(-3.5546287e-02 4.4899585e-02 3.5546287e-02)	2.4016215e+01	(-4.7523793e-02 1.1949408e-03 -4.7523775e-02)
2             	T             	1.9223931e+01	(-3.5546287e-02 4.4899585e-02 3.5546287e-02)	2.4016215e+01	(-4.7523793e-02 1.1949408e-03 -4.7523775e-02)
3             	T             	1.7516645e+01	(-3.8069621e-02 4.3970362e-02 3.3761085e-02)	2.1737562e+01	(-5.0398323e-02 1.1757816e-03 -5.1401120e-02)
3             	T             	1.7516645e+01	(-3.8069621e-02 4.3970362e-02 3.3761085e-02)	2.1737562e+01	(-5.0398323e-02 1.1757816e-03 -5.1401120e-02)
3             	T             	1.7516645e+01	(-3.8069621e-02 4.3970362e-02 3.3761085e-02)	2.1737562e+01	(-5.0398323e-02 1.1757816e-03 -5.1401120e-02)
4             	T             	1.6602944e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	2.0211202e+01	(5.1379883e-02 7.0297281e-04 5.0429192e-02)
4             	T             	1.6602944e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	2.0211202e+01	(5.1379883e-02 7.0297281e-04 5.0429192e-02)
4             	T             	1.6602944e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	2.0211202e+01	(5.1379883e-02 7.0297281e-04 5.0429192e-02)
5             	T             	1.6097167e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	1.9079871e+01	(5.1380625e-02 2.3503407e-04 5.0433655e-02)
5             	T             	1.6097167e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	1.9079871e+01	(5.1380625e-02 2.3503407e-04 5.0433655e-02)
5             	T             	1.6097167e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	1.9079871e+01	(5.1380625e-02 2.3503407e-04 5.0433655e-02)
6             	T             	1.5806392e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	1.8257566e+01	(5.1380625e-02 2.3503407e-04 5.0433655e-02)
6             	T             	1.5806392e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	1.8257566e+01	(5.1380625e-02 2.3503407e-04 5.0433655e-02)
6             	T             	1.5806392e+01	(-3.3761085e-02 4.3970362e-02 -3.8069621e-02)	1.8257566e+01	(5.1380625e-02 2.3503407e-04 5.0433655e-02)
7             	T             	1.5610055e+01	(-1.0776788e-03 4.7445852e-02 -4.7610731e-02)	1.7682753e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
7             	T             	1.5610055e+01	(-1.0776788e-03 4.7445852e-02 -4.7610731e-02)	1.7682753e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
7             	T             	1.5610055e+01	(-1.0776788e-03 4.7445852e-02 -4.7610731e-02)	1.7682753e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
8             	T             	1.5482170e+01	(-1.0776788e-03 4.7445852e-02 -4.7610731e-02)	1.7338912e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
8             	T             	1.5482170e+01	(-1.0776788e-03 4.7445852e-02 -4.7610731e-02)	1.7338912e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
8             	T             	1.5482170e+01	(-1.0776788e-03 4.7445852e-02 -4.7610731e-02)	1.7338912e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
9             	T             	1.5402121e+01	(1.0772032e-03 4.8469827e-02 -4.6587246e-02)	1.7101071e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
9             	T             	1.5402121e+01	(1.0772032e-03 4.8469827e-02 -4.6587246e-02)	1.7101071e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
9             	T             	1.5402121e+01	(1.0772032e-03 4.8469827e-02 -4.6587246e-02)	1.7101071e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
10            	T             	1.5350878e+01	(1.0772032e-03 4.8469827e-02 -4.6587246e-02)	1.6936893e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
10            	T             	1.5350878e+01	(1.0772032e-03 4.8469827e-02 -4.6587246e-02)	1.6936893e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
10            	T             	1.5350878e+01	(1.0772032e-03 4.8469827e-02 -4.6587246e-02)	1.6936893e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
11            	T             	1.5318017e+01	(1.0772032e-03 4.8469827e-02 -4.6587246e-02)	1.6823697e+01	(7.4835089e-03 2.3887731e-04 7.1595316e-02)
